Dataset,BreastMG,BreastUS,Diabetes,Heart,,,,
1,2.3719,10.396,24.165,17.483,,,,
10,3.3397,9.3794,24.109,17.324,,,,
100,7.4194,10.396,24.727,18.041,,,,
1000,8.425,15.954,25.512,19.833,,,,
,2.3719,9.3794,24.109,17.324,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Bests!,,,,,,,,
,BreastMG,,BreastUS,,Diabetes,,Heart,
,% error,Parámetros,% error,Parámetros,% error,Parámetros,% error,Parámetros
lineal,2.3719,C=1,9.3794,C=10,24.109,C=10,17.324,C=10
polinomial,3.814,"D=2, C=1",11.29,"D=2,C=10",24.755,"D=2, C=1",23.337,"D=5, C=100"
rbf,2.2011,"G=0.1,C=1",9.993,"G=0.01,C=1",23.394,"G=0.5,C=1",15.93,"G=0.01,C=10"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,3.0458,,,,
